City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
144,Lavrentiya,RU,65.5833,-171.0,45.41,77,100,17.02,overcast clouds,2021-08-07 20:28:31
145,Nanortalik,GL,60.1432,-45.2371,47.17,92,100,21.47,moderate rain,2021-08-07 20:28:31
146,Codrington,AU,-38.2667,141.9667,42.35,91,7,6.91,clear sky,2021-08-07 20:25:26
147,Khani,GE,41.9563,42.9566,67.57,89,87,5.1,overcast clouds,2021-08-07 20:27:37
148,Tiksi,RU,71.6872,128.8694,45.86,83,48,4.16,scattered clouds,2021-08-07 20:28:32
149,Vila,PT,42.0304,-8.1588,54.34,74,20,3.62,few clouds,2021-08-07 20:28:32
150,Hithadhoo,MV,-0.6,73.0833,82.38,73,100,10.38,overcast clouds,2021-08-07 20:28:33
151,Luena,AO,-11.7833,19.9167,58.69,19,3,3.94,clear sky,2021-08-07 20:28:33
152,Beira,MZ,-19.8436,34.8389,66.29,94,0,6.91,clear sky,2021-08-07 20:28:33
153,Half Moon Bay,US,37.4636,-122.4286,92.05,65,1,1.01,clear sky,2021-08-07 20:24:03
154,Tateyama,JP,34.9833,139.8667,78.82,89,75,16.11,shower rain,2021-08-07 20:28:34
155,Aklavik,CA,68.2191,-135.0107,50.0,71,90,6.91,shower rain,2021-08-07 20:28:34
156,Polson,US,47.6936,-114.1632,82.72,38,40,1.01,scattered clouds,2021-08-07 20:28:34
157,Viedma,AR,-40.8135,-62.9967,55.04,23,100,13.53,overcast clouds,2021-08-07 20:28:35
158,Namibe,AO,-15.1961,12.1522,69.35,81,100,2.17,overcast clouds,2021-08-07 20:28:35
159,Nesbyen,NO,60.5681,9.1027,59.74,94,100,3.36,light rain,2021-08-07 20:28:35
160,Havre-Saint-Pierre,CA,50.2334,-63.5986,66.56,77,40,13.8,scattered clouds,2021-08-07 20:28:36
161,Cidreira,BR,-30.1811,-50.2056,63.59,84,4,10.98,clear sky,2021-08-07 20:28:36
162,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,92.53,17,0,11.9,clear sky,2021-08-07 20:28:36
163,Te Anau,NZ,-45.4167,167.7167,34.52,99,100,4.74,moderate rain,2021-08-07 20:28:36
164,Beloha,MG,-25.1667,45.05,63.34,86,0,4.59,clear sky,2021-08-07 20:28:37
165,Kannur,IN,11.8675,75.3576,76.78,89,99,5.44,overcast clouds,2021-08-07 20:28:37
166,Port Lincoln,AU,-34.7333,135.8667,51.3,78,0,10.49,clear sky,2021-08-07 20:26:36
167,Loubomo,CG,-4.1997,12.6739,70.0,85,83,5.73,broken clouds,2021-08-07 20:28:37
168,Kailua,US,21.4022,-157.7394,84.18,64,20,12.66,few clouds,2021-08-07 20:28:38
169,Adrar,MR,20.5022,-10.0711,97.43,22,11,12.01,few clouds,2021-08-07 20:28:38
170,Abu Samrah,SY,35.3029,37.1841,82.49,39,0,10.11,clear sky,2021-08-07 20:28:38
171,Kruisfontein,ZA,-34.0033,24.7314,55.45,72,100,4.36,overcast clouds,2021-08-07 20:28:39
172,Akom,CM,2.6678,12.7109,67.68,98,100,2.59,overcast clouds,2021-08-07 20:28:39
173,Samarai,PG,-10.6167,150.6667,77.38,86,91,15.48,overcast clouds,2021-08-07 20:28:39
174,Henties Bay,NA,-22.116,14.2845,55.85,78,5,7.72,clear sky,2021-08-07 20:27:14
175,Luwuk,ID,-0.9516,122.7875,76.24,91,100,5.73,overcast clouds,2021-08-07 20:28:39
176,Georgetown,MY,5.4112,100.3354,82.33,89,20,2.3,thunderstorm,2021-08-07 20:25:50
177,Darhan,MN,49.4867,105.9228,57.2,80,63,1.23,broken clouds,2021-08-07 20:28:40
178,Diamantino,BR,-14.4086,-56.4461,93.85,20,3,6.71,clear sky,2021-08-07 20:28:40
179,Joshimath,IN,30.5667,79.5667,70.83,88,91,0.69,overcast clouds,2021-08-07 20:28:40
180,Mittagong,AU,-34.45,150.45,43.07,98,8,3.29,clear sky,2021-08-07 20:28:41
181,Cururupu,BR,-1.8283,-44.8683,83.82,64,46,2.75,scattered clouds,2021-08-07 20:28:41
182,Airai,TL,-8.9266,125.4092,52.88,66,23,2.73,few clouds,2021-08-07 20:28:41
