City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Nikolskoye,RU,2021-08-07 19:07:18,59.7035,30.7861,64.29,99,100,5.7
93,Cape Town,ZA,2021-08-07 19:03:03,-33.9258,18.4232,53.11,67,100,3.27
94,Dalhousie,IN,2021-08-07 19:07:18,32.5333,75.9833,60.75,81,24,6.06
95,Anloga,GH,2021-08-07 19:07:19,5.7947,0.8973,77.13,85,100,14.65
96,Vaini,TO,2021-08-07 19:07:19,-21.2,-175.2,64.56,88,75,4.61
97,Balykshi,KZ,2021-08-07 19:07:19,47.0667,51.8667,80.6,26,0,8.95
98,Bystryy Istok,RU,2021-08-07 19:07:19,52.371,84.3873,60.37,75,73,3.51
99,Hamilton,US,2021-08-07 19:05:06,39.1834,-84.5333,89.65,53,1,1.99
100,San Carlos,VE,2021-08-07 19:07:20,9.6612,-68.5827,88.43,52,52,4.29
101,Zhirnovsk,RU,2021-08-07 19:07:20,50.9845,44.7735,73.38,30,100,9.55
102,Punta Arenas,CL,2021-08-07 19:03:47,-53.15,-70.9167,36.81,63,20,22.91
103,Egvekinot,RU,2021-08-07 19:07:20,66.3167,-179.1667,34.5,86,96,18.45
104,Inuvik,CA,2021-08-07 19:07:21,68.3499,-133.7218,46.44,73,100,10.0
105,Adrar,MR,2021-08-07 19:03:13,20.5022,-10.0711,99.45,21,9,13.0
106,Inverell,AU,2021-08-07 19:07:21,-29.7833,151.1167,36.88,83,0,4.68
107,Quatre Cocos,MU,2021-08-07 19:07:21,-20.2078,57.7625,71.1,75,35,11.95
108,Dikson,RU,2021-08-07 19:07:22,73.5069,80.5464,49.33,72,11,1.57
109,At-Bashi,KG,2021-08-07 19:07:22,41.1702,75.8106,54.23,69,45,1.36
110,Sao Filipe,CV,2021-08-07 19:04:39,14.8961,-24.4956,79.05,81,59,6.2
111,Kampot,KH,2021-08-07 19:07:22,10.6167,104.1833,79.2,88,100,7.05
112,Wairoa,NZ,2021-08-07 19:07:23,-39.0333,177.3667,47.61,88,75,3.0
113,Walvis Bay,NA,2021-08-07 19:07:23,-22.9575,14.5053,56.08,66,1,10.63
114,Bubaque,GW,2021-08-07 19:07:23,11.2833,-15.8333,80.13,73,15,12.91
115,Muborak,UZ,2021-08-07 19:07:23,39.2553,65.1528,88.72,15,0,10.54
